City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Buala,0,SB,1596072208,64,-8.14,159.59,303.34,1.12
Mishelevka,100,RU,1596072457,91,52.86,103.17,289.78,2.03
Bahawalpur,10,PK,1596072457,51,29.4,71.68,307.75,6.01
Albany,82,US,1596072457,67,42.6,-73.97,296.48,1.76
Castro,100,BR,1596072457,96,-24.79,-50.01,283.89,3.65
Baillif,17,GP,1596072457,88,16.02,-61.75,301.15,8.7
Tautira,75,PF,1596072457,69,-17.73,-149.15,301.15,8.7
Dukat,100,RU,1596072457,90,62.55,155.55,278.0,3.72
Aksu,0,CN,1596072457,33,41.12,80.26,296.92,1.25
Yellowknife,40,CA,1596072352,56,62.46,-114.35,294.15,3.6
Bluff,100,NZ,1596072255,68,-46.6,168.33,286.08,5.83
Clyde River,90,CA,1596072459,93,70.47,-68.59,278.15,5.1
Hobart,20,AU,1596072219,50,-42.88,147.33,285.15,3.6
Flin Flon,4,CA,1596072460,49,54.77,-101.86,298.54,3.27
Morehead,1,US,1596072460,100,37.27,-87.18,299.15,0.95
Turek,98,PL,1596072460,91,52.02,18.5,287.59,1.6
Kaifeng,75,CN,1596072460,78,34.79,114.35,301.15,2.0
Torbay,90,CA,1596072460,93,47.67,-52.73,285.93,2.1
Malé,75,MV,1596072460,88,4.17,73.51,301.15,5.7
Comodoro Rivadavia,0,AR,1596072230,60,-45.87,-67.5,278.15,2.1
Ancud,100,CL,1596072460,93,-41.87,-73.82,279.26,1.5
Saint-Philippe,16,RE,1596072461,77,-21.36,55.77,292.15,2.6
Nguru,35,NG,1596072461,60,12.88,10.45,301.41,6.21
Thompson,20,CA,1596072280,56,55.74,-97.86,296.15,2.1
Hong Kong,100,HK,1596072313,74,22.29,114.16,304.82,3.58
Kapaa,40,US,1596072461,65,22.08,-159.32,301.15,7.2
Severo-Kuril'sk,74,RU,1596072461,78,50.68,156.12,287.15,6.5
Río Gallegos,29,AR,1596072461,86,-51.62,-69.22,274.15,2.6
Puerto Peñasco,0,MX,1596072212,78,31.32,-113.53,304.26,3.58
Khovd,14,MN,1596072175,39,48.01,91.64,292.7,2.86
Sainte-Maxime,0,FR,1596072461,94,43.3,6.63,295.93,1.28
Inza,17,RU,1596072461,69,53.85,46.36,289.19,3.19
Naze,20,JP,1596072308,75,28.37,129.48,305.15,3.6
Impfondo,92,CG,1596072462,92,1.64,18.07,293.9,0.98
Garmisch-Partenkirchen,0,DE,1596072462,93,47.49,11.1,290.15,0.5
Koregaon,100,IN,1596072462,89,18.65,74.08,297.07,1.79
Murgab,0,TM,1596072462,46,37.5,61.97,295.15,2.1
Gigmoto,100,PH,1596072462,76,13.78,124.39,301.67,3.83
Portland,20,US,1596072185,26,45.52,-122.68,307.59,3.1
New Norfolk,46,AU,1596072463,70,-42.78,147.06,283.71,1.34
Kovdor,52,RU,1596072463,73,67.57,30.48,282.26,3.58
Manaus,7,BR,1596072463,58,-3.1,-60.02,302.15,2.1
Khatanga,100,RU,1596072245,56,71.97,102.5,290.27,5.82
Ponta do Sol,40,PT,1596072319,60,32.67,-17.1,295.15,4.6
Kochi,90,IN,1596072463,94,9.94,76.26,297.15,2.1
Kavieng,5,PG,1596072464,69,-2.57,150.8,302.17,2.17
Kununurra,0,AU,1596072281,20,-15.77,128.73,298.15,6.2
Punta Arenas,96,CL,1596072205,86,-53.15,-70.92,276.15,6.2
Matamoros,75,MX,1596072465,51,25.53,-103.25,302.15,4.6
Wollongong,0,AU,1596072247,69,-34.43,150.88,290.37,0.89
Muroto-misakicho,75,JP,1596072465,79,33.28,134.15,302.15,2.1
Provideniya,90,RU,1596072465,93,64.38,-173.3,283.15,3.0
Cape Town,40,ZA,1596072244,93,-33.93,18.42,285.93,3.1
Killybegs,100,IE,1596072466,95,54.63,-8.45,288.15,2.24
Puerto Ayora,99,EC,1596072466,91,-0.74,-90.35,292.59,0.45
George Town,20,MY,1596072312,78,5.41,100.34,302.15,2.6
Puerto Quijarro,7,BO,1596072467,57,-17.78,-57.77,288.98,2.9
Bredasdorp,94,ZA,1596072467,76,-34.53,20.04,287.15,4.6
Bontang,100,ID,1596072468,82,0.13,117.5,299.16,4.64
Xining,100,CN,1596072469,68,36.62,101.77,288.56,0.74
Polunochnoye,97,RU,1596072469,100,60.87,60.42,285.32,0.66
Emba,97,KZ,1596072469,33,48.83,58.14,296.3,1.88
Chimbote,7,PE,1596072469,88,-9.09,-78.58,288.18,2.97
Nālūt,0,LY,1596072470,40,30.33,10.85,297.62,6.9
Margate,57,GB,1596072470,67,51.38,1.39,290.37,3.31
Monrovia,75,LR,1596072470,94,6.3,-10.8,297.15,4.54
Atuona,3,PF,1596072470,74,-9.8,-139.03,299.44,9.18
Givors,0,FR,1596072283,46,45.58,4.77,295.15,0.5
Namatanai,15,PG,1596072472,66,-3.67,152.43,303.01,2.22
Husavik,10,IS,1596072472,93,66.04,-17.34,278.15,1.5
Havre-St-Pierre,90,CA,1596072472,100,50.23,-63.6,287.15,5.1
Laguna,1,US,1596072331,24,38.42,-121.42,308.15,3.1
Lagoa,56,PT,1596072472,91,39.05,-27.98,296.49,12.61
Haines Junction,9,CA,1596072473,39,60.75,-137.51,296.68,0.81
Ulladulla,20,AU,1596072473,62,-35.35,150.47,288.71,3.6
Saskylakh,0,RU,1596072473,59,71.92,114.08,287.54,1.48
Udachny,100,RU,1596072473,62,66.42,112.4,288.15,2.0
Saldanha,0,ZA,1596072473,87,-33.01,17.94,281.15,0.5
Airai,100,TL,1596072269,36,-8.93,125.41,293.19,1.82
Assiniboia,16,CA,1596072473,44,49.63,-105.98,300.93,7.27
Yulara,0,AU,1596072474,27,-25.24,130.99,290.15,6.7
Sitka,1,US,1596072474,64,57.05,-135.33,293.15,1.5
Kruisfontein,0,ZA,1596072179,73,-34.0,24.73,285.93,1.34
Bengkulu,95,ID,1596072475,85,-3.8,102.27,297.58,1.69
Arraial do Cabo,100,BR,1596072467,83,-22.97,-42.03,294.86,6.16
Holstebro,93,DK,1596072476,93,56.36,8.62,285.37,4.6
Leningradskiy,27,RU,1596072476,72,69.38,178.42,279.36,6.71
Tiksi,100,RU,1596072476,86,71.69,128.87,277.64,3.78
Chernyshevskiy,0,RU,1596072476,56,63.01,112.47,289.6,4.18
French Harbor,100,HN,1596072476,80,16.35,-86.43,302.08,10.65
Hambantota,75,LK,1596072202,100,6.12,81.12,297.15,3.1
Pisco,90,PE,1596072476,82,-13.7,-76.22,289.15,4.6
Omboué,100,GA,1596072476,79,-1.57,9.26,296.23,3.65
Carnarvon,0,AU,1596072284,55,-24.87,113.63,290.15,1.5
Bay Roberts,100,CA,1596072476,7,47.6,-53.26,287.59,2.09
Muhororo,4,UG,1596072477,87,0.94,30.76,290.07,0.41
Okhotsk,100,RU,1596072477,89,59.38,143.3,286.43,4.99
Upernavik,20,GL,1596072477,85,72.79,-56.15,279.19,2.46
Peterhead,75,GB,1596072477,87,57.51,-1.8,282.59,3.1
Shestakovo,78,RU,1596072477,76,56.49,103.96,290.05,2.34
Nuuk,100,GL,1596072477,93,64.18,-51.72,281.15,1.0
Daru,91,PG,1596072477,83,-9.08,143.21,298.1,7.31
Mareeba,0,AU,1596072477,41,-17.0,145.43,298.15,8.2
Esperance,0,AU,1596072477,81,-33.87,121.9,284.15,7.7
Saint Paul Harbor,1,US,1596072477,59,57.79,-152.41,292.15,6.2
Birin,90,NP,1596072477,94,26.89,88.07,299.15,1.0
Vyazemskiy,0,RU,1596072478,63,47.54,134.75,300.59,3.46
Longyearbyen,40,SJ,1596072478,76,78.22,15.64,285.15,1.0
Zyryanka,96,RU,1596072479,50,65.75,150.85,285.26,7.0
Qasigiannguit,16,GL,1596072479,81,68.82,-51.19,280.15,2.6
Ilulissat,71,GL,1596072479,81,69.22,-51.1,280.15,2.6
Thunder Bay,75,CA,1596072251,60,48.4,-89.32,295.15,2.1
Billings Metropolitan Area,75,US,1596072390,32,45.78,-108.5,303.71,2.6
Mar del Plata,0,AR,1596072479,93,-38.0,-57.56,282.04,1.0
Sharjah city,100,AE,1596072233,59,25.36,55.4,308.15,2.1
Bonfim,76,BR,1596072480,69,3.08,-59.95,298.75,0.4
Borogontsy,0,RU,1596072482,38,62.67,131.17,293.19,2.02
Bilibino,1,RU,1596072482,37,68.05,166.44,287.24,3.74
Wasilla,1,US,1596072428,56,61.58,-149.44,297.59,1.6
Hilo,90,US,1596072483,65,19.73,-155.09,301.15,5.1
Brae,100,GB,1596072303,93,60.4,-1.35,284.15,7.2
Riohacha,62,CO,1596072484,78,11.54,-72.91,300.77,6.0
Birobidzhan,0,RU,1596072484,68,48.8,132.95,300.77,2.39
Saint Anthony,1,US,1596072491,47,45.02,-93.22,299.82,3.6
East London,0,ZA,1596072491,65,-33.02,27.91,288.4,6.18
North Platte,75,US,1596072491,57,41.12,-100.77,300.15,6.2
Burnie,19,AU,1596072491,51,-41.07,145.92,285.37,4.47
Rosetta,40,EG,1596072494,78,31.4,30.42,299.15,3.1
Marawi,100,PH,1596072494,82,8.0,124.29,300.37,1.34
Batemans Bay,4,AU,1596072494,74,-35.72,150.18,289.26,1.78
São José da Coroa Grande,5,BR,1596072494,77,-8.9,-35.15,296.79,5.87
Severo-Yeniseyskiy,99,RU,1596072494,81,60.37,93.04,289.95,2.38
Butaritari,0,KI,1596072494,73,3.07,172.79,301.43,7.04
Madang,13,PG,1596072494,65,-5.22,145.8,302.55,1.34
Bayjī,0,IQ,1596072494,15,34.93,43.49,307.54,3.61
Ouadda,95,CF,1596072494,94,8.08,22.4,292.06,1.77
Ngunguru,100,NZ,1596072494,3,-35.62,174.5,288.71,4.92
Iqaluit,40,CA,1596072495,63,63.75,-68.51,290.15,4.1
Grand Gaube,46,MU,1596072495,83,-20.01,57.66,293.15,0.89
Wangkui,97,CN,1596072495,84,46.83,126.5,295.73,2.21
Karakol,3,KG,1596072495,68,42.49,78.39,285.58,0.72
Fuling,0,CN,1596072495,68,29.7,107.39,301.28,0.36
Fort Saint James,100,CA,1596072501,35,54.43,-124.25,296.87,0.87
Port Elizabeth,20,ZA,1596072501,72,-33.92,25.57,288.15,7.2
Vallenar,75,CL,1596072502,35,-28.57,-70.76,290.9,1.66
Sabang,100,ID,1596072502,72,5.89,95.32,301.49,4.23
Tevaitoa,89,PF,1596072502,77,-16.78,-151.5,300.1,7.98
Ballina,48,AU,1596072502,63,-28.87,153.57,293.15,5.7
Luganville,75,VU,1596072504,70,-15.53,167.17,302.15,2.1
Ust-Tsilma,0,RU,1596072504,74,65.44,52.15,281.42,1.95
Bikin,0,RU,1596072505,62,46.82,134.26,299.56,2.78
Los Llanos de Aridane,75,ES,1596072505,88,28.66,-17.92,295.15,7.7
Qaanaaq,0,GL,1596072508,68,77.48,-69.36,278.42,0.66
Petrolina,0,BR,1596072508,70,-9.4,-40.5,295.14,7.82
Ahipara,100,NZ,1596072511,77,-35.17,173.17,288.45,5.72
Sola,90,VU,1596072511,94,-13.88,167.55,299.15,9.02
Touros,40,BR,1596072511,88,-5.2,-35.46,296.15,4.1
Huanren,97,CN,1596072511,78,41.26,125.37,297.66,2.11
Lavrentiya,100,RU,1596072511,83,65.58,-171.0,282.15,3.05
Lebu,100,CL,1596072511,74,-37.62,-73.65,280.35,1.99
San Patricio,90,MX,1596072282,100,19.22,-104.7,299.15,1.23
San Vicente,0,AR,1596072512,88,-26.62,-54.13,278.37,2.44
Talnakh,44,RU,1596072512,59,69.49,88.4,290.15,5.0
Pandan,100,PH,1596072514,79,14.05,124.17,301.39,3.57
Eyl,0,SO,1596072514,73,7.98,49.82,298.66,7.55
Vao,99,NC,1596072514,86,-22.67,167.48,295.56,10.58
Port Lincoln,0,AU,1596072514,72,-34.73,135.87,287.22,1.73
Ca Mau,100,VN,1596072521,78,9.18,105.15,301.7,3.16
Quatre Cocos,40,MU,1596072521,88,-20.21,57.76,294.15,2.6
Codrington,15,AU,1596072521,76,-38.27,141.97,285.02,2.89
Merta,9,IN,1596072295,60,26.65,74.03,303.13,3.08
Novopokrovka,98,UA,1596072521,60,49.84,36.55,294.15,2.66
Guía de Isora,0,ES,1596072521,68,28.21,-16.78,295.93,6.2
Bethel,1,US,1596072521,74,41.37,-73.41,299.15,3.1
Polasara,85,IN,1596072521,84,19.7,84.82,300.33,0.6
Skibbereen,75,IE,1596072522,93,51.55,-9.27,288.15,7.2
Pemba,20,MZ,1596072522,83,-12.97,40.52,294.15,5.1
Vardø,72,NO,1596072304,86,70.37,31.11,284.91,8.77
Yabrūd,0,SY,1596072523,61,33.97,36.66,298.15,4.1
Nishihara,75,JP,1596072523,74,26.18,127.76,304.15,5.7
Karapyshi,92,UA,1596072524,94,49.64,30.79,291.82,3.73
Vostok,0,RU,1596072524,56,46.49,135.88,298.7,2.02
Kaduqli,85,SD,1596072524,95,11.02,29.72,294.49,2.04
Jaciara,1,BR,1596072524,55,-15.97,-54.97,295.46,3.01
Bahía Honda,3,CU,1596072524,86,22.9,-83.16,299.99,4.74
Palmer,75,US,1596072525,54,42.16,-72.33,301.15,3.1
Wajima,75,JP,1596072525,88,37.4,136.9,298.15,3.6
Kirakira,100,SB,1596072525,83,-10.45,161.92,299.41,1.82
Necochea,100,AR,1596072526,88,-38.55,-58.74,275.93,1.79
Ostrovnoy,11,RU,1596072526,91,68.05,39.51,282.18,5.3
Aksarka,100,RU,1596072526,83,66.56,67.8,283.27,3.5
Mahébourg,40,MU,1596072526,88,-20.41,57.7,294.15,2.6
Lorengau,43,PG,1596072527,63,-2.02,147.27,303.0,2.77
Paciran,0,ID,1596072527,69,-6.88,112.38,297.82,4.05
Yining,100,CN,1596072527,79,29.04,114.56,301.95,0.41
Saposoa,0,PE,1596072528,90,-6.93,-76.77,294.76,1.6
Padang,40,ID,1596072260,94,-0.95,100.35,298.15,1.5
Pyaozerskiy,98,RU,1596072528,77,65.83,31.17,285.69,5.77
Lakatoro,75,VU,1596072530,70,-16.1,167.42,302.15,2.1
Mayumba,100,GA,1596072530,85,-3.43,10.66,294.92,3.01
Mandalgovi,0,MN,1596072531,63,45.76,106.27,292.22,2.36
Zapolyarnyy,0,RU,1596072531,76,69.42,30.81,285.15,8.7
Onokhoy,75,RU,1596072531,77,51.93,108.07,293.15,4.0
Butiama,72,TZ,1596072531,84,-1.77,33.97,290.47,0.89
Fare,99,PF,1596072531,78,-16.7,-151.02,299.83,8.33
Pevek,100,RU,1596072270,94,69.7,170.31,275.89,2.8
Saint George,1,US,1596072532,7,37.1,-113.58,313.71,6.2
Bloomfield,1,US,1596072532,45,40.81,-74.19,302.59,2.45
Baruun-Urt,100,MN,1596072532,78,46.68,113.28,291.29,4.35
Quryq,0,KZ,1596072532,71,43.2,51.65,293.19,5.34
Palomares,100,MX,1596072532,89,17.15,-95.07,298.52,1.8
Port Blair,100,IN,1596072532,83,11.67,92.75,300.13,6.71
Cayenne,55,GF,1596072533,83,4.93,-52.33,300.15,1.5
Baykit,100,RU,1596072533,82,61.67,96.37,288.0,3.51
Mwinilunga,0,ZM,1596072534,57,-11.74,24.43,283.97,1.89
Labuhan,0,ID,1596072534,68,-6.88,112.21,297.91,4.61
Ankazoabo,17,MG,1596072534,85,-22.28,44.52,287.81,2.34
Ulaangom,58,MN,1596072535,55,49.98,92.07,292.56,1.41
Poya,16,NC,1596072535,69,-21.35,165.15,299.08,2.99
Thanh Hoa,0,VN,1596072535,69,19.8,105.77,303.28,1.32
Ampanihy,21,MG,1596072535,93,-24.7,44.75,288.89,2.41
Tuatapere,100,NZ,1596072535,69,-46.13,167.68,286.25,4.22
Chui,0,UY,1596072536,85,-33.7,-53.46,278.99,0.97
Anamur,0,TR,1596072536,78,36.08,32.84,295.15,2.1
Flinders,1,AU,1596072536,61,-34.58,150.86,290.37,1.34
Calama,0,CL,1596072537,5,-22.47,-68.93,282.15,3.6
Chunoyar,100,RU,1596072537,74,57.45,97.32,292.44,2.96
Homer,1,US,1596072537,63,59.64,-151.55,292.04,6.7
Saint-François,0,FR,1596072537,63,46.42,3.91,289.82,1.82
Maraã,37,BR,1596072538,77,-1.83,-65.37,297.83,0.92
Saint-Pierre,50,RE,1596072538,77,-21.34,55.48,292.15,2.6
Bathsheba,40,BB,1596072538,83,13.22,-59.52,301.15,6.7
Hobyo,42,SO,1596072538,81,5.35,48.53,298.48,9.59
Roseau,9,DM,1596072538,82,15.3,-61.39,300.67,8.58
Buraidah,0,SA,1596072538,36,26.33,43.98,306.15,2.23
Kyabé,100,TD,1596072538,93,9.45,18.94,293.88,1.43
Stokmarknes,96,NO,1596072540,68,68.56,14.91,290.93,2.24
Kavaratti,100,IN,1596072540,78,10.57,72.64,301.19,7.37
Alofi,52,NU,1596072540,57,-19.06,-169.92,298.15,9.3
Jumla,99,NP,1596072540,71,29.27,82.18,289.78,0.81
Belfast,100,GB,1596072463,100,54.58,-5.93,286.48,4.6
Csengőd,16,HU,1596072541,78,46.72,19.27,295.93,1.89
Vila Velha,16,BR,1596072428,83,-20.33,-40.29,295.93,2.6
Marfino,75,RU,1596072541,93,55.7,37.38,291.15,2.0
Pauini,74,BR,1596072541,57,-7.71,-66.98,300.13,0.98
Raufoss,1,NO,1596072541,97,60.73,10.62,283.15,0.45
George Town,20,MY,1596072312,78,5.41,100.34,302.15,2.6
Rundu,0,NA,1596072313,46,-17.93,19.77,283.21,2.52
Meulaboh,95,ID,1596072541,74,4.14,96.13,299.04,1.84
Samarai,100,PG,1596072542,81,-10.62,150.67,298.05,6.79
Band,40,RO,1596072542,93,46.58,24.38,290.37,2.1
Rome,40,US,1596072542,88,43.21,-75.46,294.15,1.95
Skala Fourkas,0,GR,1596072542,52,40.0,23.38,299.82,0.61
Hasaki,75,JP,1596072542,100,35.73,140.83,297.04,4.1
Lima,90,PE,1596072268,77,-12.04,-77.03,289.15,3.6
Kindersley,20,CA,1596072545,61,51.47,-109.17,301.15,5.1
Solnechnyy,52,RU,1596072545,66,50.72,136.63,301.41,1.36
Gragnano,0,IT,1596072545,65,40.7,14.51,298.71,0.5
Columbus,40,US,1596072393,48,39.96,-83.0,302.59,2.6
Norman Wells,75,CA,1596072545,68,65.28,-126.83,291.15,6.7
Viedma,72,AR,1596072545,72,-40.81,-63.0,277.59,0.89
Cidreira,86,BR,1596072545,71,-30.18,-50.21,282.33,0.96
Quzhou,97,CN,1596072546,78,28.96,118.87,301.75,2.14
Ayan,97,RU,1596072546,95,56.45,138.17,288.66,4.71
Aloleng,100,PH,1596072287,84,16.13,119.78,299.71,5.18
Coralville,1,US,1596072329,78,41.68,-91.58,301.15,2.1
Ustka,31,PL,1596072546,80,54.58,16.86,287.48,7.33
Batagay,0,RU,1596072547,46,67.63,134.63,287.45,3.61
Kalianget,0,ID,1596072547,60,-7.05,113.93,299.39,2.72
Hokota,75,JP,1596072547,77,36.15,140.52,297.15,2.6
Fukuechō,75,JP,1596072547,94,32.69,128.84,301.15,4.6
Hamilton,40,US,1596072547,54,39.18,-84.53,302.04,0.69
Koungou,75,YT,1596072548,83,-12.73,45.2,298.15,7.7
Nha Trang,20,VN,1596072548,62,12.25,109.18,305.15,0.5
São Gabriel da Cachoeira,19,BR,1596072549,93,-0.13,-67.09,296.61,0.88
Juuru,72,EE,1596072549,93,59.06,24.96,285.15,3.6
Bambous Virieux,40,MU,1596072525,88,-20.34,57.76,294.15,2.6
Lompoc,9,US,1596072549,77,34.64,-120.46,292.04,6.2
Mayna,0,RU,1596072549,72,54.11,47.62,288.87,3.31
Karratha,0,AU,1596072549,23,-20.74,116.85,295.27,6.06
Nyurba,98,RU,1596072549,60,63.28,118.33,289.43,2.24
Kargasok,87,RU,1596072549,88,59.06,80.86,286.17,5.26
Kiama,1,AU,1596072549,61,-34.68,150.87,290.37,1.34
Zakamensk,24,RU,1596072550,77,50.37,103.29,290.58,1.01
Praia,75,CV,1596072550,78,14.92,-23.51,300.15,3.1
Pingliang,9,CN,1596072551,58,35.54,106.69,296.16,1.78
Yerbogachën,100,RU,1596072551,68,61.28,108.01,288.96,5.04
Inhambane,0,MZ,1596072551,79,-23.86,35.38,289.84,2.23
San Fernando del Valle de Catamarca,40,AR,1596072551,56,-28.47,-65.79,277.04,0.89
Mauguio,0,FR,1596072551,88,43.62,4.01,296.15,2.1
Shache,0,CN,1596072552,23,38.42,77.24,298.6,3.15
Vicuña,0,CL,1596072552,93,-30.03,-70.71,283.15,1.5
Berezanka,0,UA,1596072553,64,46.85,31.39,296.17,2.72
Deputatsky,78,RU,1596072553,59,69.3,139.9,281.36,3.65
Freetown,100,SL,1596072554,87,8.48,-13.23,297.54,5.35
Dikson,100,RU,1596072555,76,73.51,80.55,282.98,2.85
San Felipe,99,VE,1596072555,92,10.34,-68.74,296.53,0.87
Puerto Escondido,100,MX,1596072555,74,15.85,-97.07,301.25,1.52
Gijang,75,KR,1596072556,83,35.24,129.21,301.15,4.6
Ambilobe,35,MG,1596072556,84,-13.2,49.05,292.29,1.89
College,75,US,1596072557,56,64.86,-147.8,293.15,1.96
Reoti,100,IN,1596072557,77,25.85,84.38,301.38,1.89
Altamont,1,US,1596072557,14,42.21,-121.74,307.04,1.5
Filingué,0,NE,1596072557,44,14.35,3.32,304.82,6.02
Tessaoua,0,NE,1596072557,53,13.76,7.99,302.77,7.37
Durant,1,US,1596072557,52,33.99,-96.37,305.15,3.6
Banda Aceh,100,ID,1596072557,73,5.56,95.32,300.36,3.36
Trenggalek,17,ID,1596072557,64,-8.05,111.72,296.33,1.58
Nizwá,100,OM,1596072557,46,22.93,57.53,305.43,0.98
Tual,100,ID,1596072558,83,-5.67,132.75,299.34,10.03
Riverton,1,US,1596072517,22,40.52,-111.94,305.37,3.6
Gander,90,CA,1596072558,87,48.97,-54.59,286.15,3.6
Hokitika,100,NZ,1596072560,68,-42.72,170.97,286.86,1.99
Marsala,0,IT,1596072560,64,37.8,12.44,302.59,2.6
Port-Gentil,10,GA,1596072560,81,-0.72,8.78,296.61,5.22
Ryōtsu-minato,75,JP,1596072560,94,38.08,138.43,297.15,1.0
North Bend,1,US,1596072562,77,43.41,-124.22,299.82,6.7
Ugoofaaru,100,MV,1596072562,80,5.67,73.0,301.08,8.08
Northam,92,GB,1596072562,90,51.03,-4.22,286.48,3.13
Anadyr,90,RU,1596072562,87,64.75,177.48,286.15,2.0
Staroye Drozhzhanoye,1,RU,1596072565,66,54.73,47.57,290.21,4.18
Mergen,23,CN,1596072565,48,49.18,125.22,301.59,3.01
Sinnamary,100,GF,1596072565,83,5.38,-52.95,299.02,4.24
Sogod,86,PH,1596072553,65,10.38,124.98,303.51,2.68
Aykhal,100,RU,1596072565,62,66.0,111.5,288.15,2.0
Camabatela,0,AO,1596072565,88,-8.19,15.38,285.87,0.77
Santa Rita,90,BR,1596072566,100,-7.11,-34.98,295.15,4.6
Dunedin,100,NZ,1596072275,70,-45.87,170.5,283.71,2.68
Klaksvík,99,FO,1596072287,93,62.23,-6.59,280.15,6.7
Goderich,0,CA,1596072567,78,43.75,-81.72,297.59,1.23
Tsimmerbude,40,RU,1596072569,82,54.67,20.13,287.15,3.0
Chokurdakh,58,RU,1596072524,54,70.63,147.92,283.0,3.94
Sørland,66,NO,1596072537,78,67.67,12.69,288.51,3.84
Alexandria,40,EG,1596072411,78,31.22,29.96,299.15,3.1
Nador,75,MA,1596072569,88,35.17,-2.93,299.15,3.6
Huarmey,2,PE,1596072570,85,-10.07,-78.15,288.39,2.95
Pajapan,12,MX,1596072570,87,18.25,-94.7,298.96,3.09
Kloulklubed,90,PW,1596072528,79,7.04,134.26,302.15,2.6
Aswān,4,EG,1596072570,23,24.09,32.91,306.84,3.27
Egvekinot,100,RU,1596072571,94,66.32,-179.17,282.11,0.88
General Roca,100,AR,1596072572,86,-39.03,-67.58,276.15,1.0
Bowen,0,AU,1596072572,52,-20.02,148.23,296.48,3.6
Rio Piracicaba,41,BR,1596072572,79,-19.93,-43.17,290.69,0.59
Bahía de Caráquez,75,EC,1596072572,78,-0.6,-80.42,296.15,4.6
Dzhebariki-Khaya,0,RU,1596072572,35,62.22,135.8,292.56,4.21
Westport,1,US,1596072423,78,41.14,-73.36,300.15,2.1
Guiren,47,CN,1596072572,88,33.67,118.19,299.93,4.89
Kawalu,4,ID,1596072572,77,-7.38,108.21,294.83,0.79
Gao,0,ML,1596072572,43,16.64,1.64,304.8,5.38
Wajir,0,KE,1596072572,78,1.75,40.06,295.66,4.58
Sioux Lookout,40,CA,1596072572,64,50.1,-91.92,294.15,2.6
Oktyabr'skoye,76,RU,1596072572,93,43.06,44.74,292.15,0.75
Vestmannaeyjar,5,IS,1596072528,88,63.44,-20.27,284.11,2.59
Roald,37,NO,1596072573,82,62.58,6.13,287.15,3.1
Joshīmath,98,IN,1596072573,58,30.57,79.57,292.12,0.3
